Tue Oct  2 10:06:23 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:06:23 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:06:48 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:06:48 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:12:43 2018	Welcome to minarConjuntos version 0.3
Tue Oct  2 10:12:43 2018	Entering foreach loop with 150 iterations...
Tue Oct  2 10:16:44 2018	ccr=0.74	 iter 94
Tue Oct  2 10:16:45 2018	ccr=0.76	 iter 95
Tue Oct  2 10:16:47 2018	ccr=0.8	 iter 96
Tue Oct  2 10:16:48 2018	ccr=0.74	 iter 97
Tue Oct  2 10:16:49 2018	ccr=0.74	 iter 98
Tue Oct  2 10:16:56 2018	ccr=0.84	 iter 99
Tue Oct  2 10:16:58 2018	ccr=0.72	 iter 100
Tue Oct  2 10:17:00 2018	ccr=0.88	 iter 101
Tue Oct  2 10:17:01 2018	ccr=0.82	 iter 102
Tue Oct  2 10:17:03 2018	ccr=0.76	 iter 103
Tue Oct  2 10:17:06 2018	ccr=0.9	 iter 104
Tue Oct  2 10:17:09 2018	ccr=0.8	 iter 105
Tue Oct  2 10:17:10 2018	ccr=0.8	 iter 106
Tue Oct  2 10:17:12 2018	ccr=0.74	 iter 107
Tue Oct  2 10:17:13 2018	ccr=0.6	 iter 108
Tue Oct  2 10:17:19 2018	ccr=0.88	 iter 109
Tue Oct  2 10:17:21 2018	ccr=0.82	 iter 110
Tue Oct  2 10:17:25 2018	ccr=0.76	 iter 111
Tue Oct  2 10:17:26 2018	ccr=0.82	 iter 112
Tue Oct  2 10:17:27 2018	ccr=0.86	 iter 113
Tue Oct  2 10:17:31 2018	ccr=0.82	 iter 114
Tue Oct  2 10:17:32 2018	ccr=0.74	 iter 115
Tue Oct  2 10:17:35 2018	ccr=0.82	 iter 116
Tue Oct  2 10:17:36 2018	ccr=0.86	 iter 117
Tue Oct  2 10:17:38 2018	ccr=0.64	 iter 118
Tue Oct  2 10:17:42 2018	ccr=0.8	 iter 119
Tue Oct  2 10:17:46 2018	ccr=0.8	 iter 120
Tue Oct  2 10:17:47 2018	ccr=0.82	 iter 121
Tue Oct  2 10:17:50 2018	ccr=0.76	 iter 122
Tue Oct  2 10:17:52 2018	ccr=0.84	 iter 123
Tue Oct  2 10:17:53 2018	ccr=0.78	 iter 124
Tue Oct  2 10:17:54 2018	ccr=0.8	 iter 125
Tue Oct  2 10:17:59 2018	ccr=0.82	 iter 126
Tue Oct  2 10:18:13 2018	ccr=0.84	 iter 127
Tue Oct  2 10:18:15 2018	ccr=0.8	 iter 128
Tue Oct  2 10:18:17 2018	ccr=0.82	 iter 129
Tue Oct  2 10:18:18 2018	ccr=0.84	 iter 130
Tue Oct  2 10:18:21 2018	ccr=0.84	 iter 131
Tue Oct  2 10:18:22 2018	ccr=0.78	 iter 132
Tue Oct  2 10:18:23 2018	ccr=0.66	 iter 133
Tue Oct  2 10:18:29 2018	ccr=0.84	 iter 134
Tue Oct  2 10:18:34 2018	ccr=0.8	 iter 135
Tue Oct  2 10:18:35 2018	ccr=0.7	 iter 136
Tue Oct  2 10:18:36 2018	ccr=0.8	 iter 137
Tue Oct  2 10:18:38 2018	ccr=0.82	 iter 138
Tue Oct  2 10:18:40 2018	ccr=0.72	 iter 139
Tue Oct  2 10:18:43 2018	ccr=0.76	 iter 140
Tue Oct  2 10:18:44 2018	ccr=0.78	 iter 141
Tue Oct  2 10:18:52 2018	ccr=0.8	 iter 142
Tue Oct  2 10:18:53 2018	ccr=0.72	 iter 143
Tue Oct  2 10:18:55 2018	ccr=0.8	 iter 144
Tue Oct  2 10:18:56 2018	ccr=0.76	 iter 145
Tue Oct  2 10:18:57 2018	ccr=0.72	 iter 146
Tue Oct  2 10:19:08 2018	ccr=0.84	 iter 147
Tue Oct  2 10:19:08 2018	ccr=0.9	 iter 148
Tue Oct  2 10:19:11 2018	ccr=0.84	 iter 149
Tue Oct  2 10:19:11 2018	ccr=0.82	 iter 150
Tue Oct  2 10:19:12 2018	minarConjuntos finished!
